a	a	a
absolutní	absolutní	absolut @@n @@í
absolutně	absolutně	absolut @@n @@ě
absolvent	absolvent	ab @@solv @@ent
absorbovat	absorbovat	ab @@sorb @@ova @@t
ad	ad	ad
adekvátní	adekvátní	ad @@ekvát @@n @@í
administrativní	Administrativní	ad @@ministr @@at @@iv @@n @@í
administrativní	administrativní	ad @@ministr @@at @@iv @@n @@í
adresa	adres	adres
adresa	adresa	adres @@a
adresa	adrese	adres @@e
adresa	adresu	adres @@u
adresát	adresáta	adres @@át @@a
adresát	adresátů	adres @@át @@ů
advokátní	Advokátní	ad @@vok @@át @@n @@í
afrika	Afriku	afrik @@u
afrika	Afriky	afrik @@y
aféra	aféry	afér @@y
agenda	agenda	agend @@a
agentura	Agentury	agent @@ur @@y
agentura	Agentuře	agent @@uř @@e
agentura	agentur	agent @@ur
agentura	agentury	agent @@ur @@y
agrese	agresi	agres @@i
agresivita	agresivity	agres @@iv @@it @@y
agrární	agrárním	agr @@ár @@n @@ím
airlines	Airlines	air @@line @@s
airways	Airways	air @@way @@s
akce	akce	akc @@e
akce	akci	akc @@i
akce	akcí	akc @@í
akce	akcích	akc @@ích
akcie	akcie	akci @@e
akcie	akcií	akci @@í
akcionář	akcionář	akcion @@ář
akcionář	akcionářů	akci @@onář @@ů
akciový	Akciová	akci @@ov @@á
akciový	akciová	akci @@ov @@á
akciový	akciové	akci @@ov @@é
akciový	akciových	akci @@ov @@ých
aktivita	aktivit	akt @@iv @@it
aktivní	aktivní	akt @@iv @@n @@í
aktuálně	Aktuálně	akt @@uál @@n @@ě
akupresura	akupresurou	aku @@pres @@ur @@ou
akustický	Akustické	akust @@ic @@k @@é
ale	Ale	ale
ale	ale	ale
alespoň	alespoň	alespoň
alexej	Alexej	alexej
alfa	Alfa	alf @@a
alfabetický	alfabetickém	alf @@a @@bet @@ick @@ém
aljaška	Aljašce	aljašc @@e
alkohol	alkohol	alkohol
alternativa	alternativa	alter @@n @@at @@iv @@a
alternativa	alternativu	alter @@n @@at @@iv @@u
amatakkulchai	Amatakkulchai	amatakkulchai
americký	americkou	americ @@k @@ou
americký	americké	americ @@k @@é
americký	americkému	americ @@k @@ému
americký	americký	americ @@k @@ý
americký	amerických	americ @@k @@ých
americký	američtí	američ @@t @@í
amerika	Amerika	amerik @@a
amerika	Ameriku	amerik @@u
amerika	Ameriky	amerik @@y
američan	Američané	američ @@an @@é
američan	Američanů	američ @@an @@ů
amipro	AmiPro	ami @@pro
analogicky	Analogicky	ana @@log @@ic @@k @@y
analogický	analogická	ana @@log @@ic @@k @@á
analytica	ANALYTICA	ana @@lyt @@ic @@a
analytika	analytiku	ana @@lyt @@ik @@u
analýza	analýza	ana @@lýz @@a
analýza	analýzy	ana @@lýz @@y
aneb	aneb	a @@neb
anebo	anebo	a @@nebo
angažovaný	angažován	angaž @@ová @@n
angažování	angažování	angaž @@ová @@n @@í
anglicky	anglicky	angl @@ick @@y
anglický	anglické	angl @@ic @@k @@é
anglický	anglického	angl @@ic @@k @@ého
anglický	anglickém	angl @@ick @@ém
anglie	Anglie	angl @@i @@e
angličtina	angličtinou	angl @@ičt @@in @@ou
angličtina	angličtiny	angl @@ičt @@in @@y
ani	Ani	ani
ani	ani	ani
ano	Ano	ano
ano	ano	ano
anomálie	anomálii	anomál @@i @@i
aparatura	aparatury	aparat @@ur @@y
aplikace	aplikaci	aplik @@ac @@i
apod	ap	a @@p
apod	apod	a @@pod
arch	arch	arch
arch	archů	arch @@ů
areál	areálu	areál @@u
argentina	Argentiny	argentin @@y
arnošt	Arnošt	arnošt
asi	Asi	asi
asi	asi	asi
asie	Asie	asi @@e
asistentka	asistentka	asist @@ent @@k @@a
asistovat	Asistovat	asist @@ova @@t
asociace	Asociace	a @@soci @@ac @@e
aspekt	aspekty	a @@spekt @@y
aspoň	aspoň	aspoň
atd	atd	atd
atraktivní	atraktivní	a @@trakt @@iv @@n @@í
atraktivní	atraktivním	a @@trakt @@iv @@n @@ím
audit	auditu	audit @@u
aukce	aukce	aukc @@e
aukční	aukční	aukč @@n @@í
autentický	autentického	autentic @@k @@ého
auto	Auto	auto
auto	aut	aut
auto	auta	aut @@a
auto	autem	aut @@em
auto	auto	auto
auto	autě	aut @@ě
autobus	autobus	auto @@bus
autodoprava	autodopravu	aut @@o @@do @@prav @@u
autogenní	autogenního	auto @@gen @@n @@ího
automasáž	automasáží	auto @@mas @@áž @@í
automaticky	automaticky	auto @@mat @@ic @@k @@y
automatický	Automatická	auto @@mat @@ic @@k @@á
automatický	Automatické	auto @@mat @@ic @@k @@é
automatický	Automatický	auto @@mat @@ick @@ý
automatický	automatické	auto @@mat @@ic @@k @@é
automatický	automatického	auto @@mat @@ic @@k @@ého
automatický	automatickým	auto @@mat @@ic @@k @@ým
automobil	automobil	auto @@mobil
automobil	automobily	auto @@mobil @@y
automobil	automobilů	auto @@mobil @@ů
automobilka	Automobilky	auto @@mobil @@k @@y
automobilka	automobilky	auto @@mobil @@k @@y
autonomie	autonomii	auto @@nom @@i @@i
autor	Autory	autor @@y
autor	autor	aut @@or
autor	autorů	autor @@ů
autoritativní	autoritativní	aut @@or @@it @@at @@iv @@n @@í
autorský	autorského	autor @@sk @@ého
avizovaný	avizován	aviz @@ová @@n
avšak	Avšak	a @@však
avšak	avšak	a @@však
ač	ač	ač
ačkoliv	Ačkoli	ač @@koli
ať	Ať	ať
ať	ať	ať
až	Až	až
až	až	až
bakalářský	bakalářského	bakalář @@sk @@ého
balení	Balení	bal @@en @@í
bangkok	Bangkok	bangkok
bangkok	Bangkoku	bangkok @@u
bangkokský	bangkokském	bangkok @@sk @@ém
bangkokský	bangkokský	bangkok @@sk @@ý
banka	bance	banc @@e
banka	bank	bank
banka	banka	bank @@a
banka	bankami	bank @@ami
banka	bankou	bank @@ou
banka	banku	bank @@u
banka	banky	bank @@y
banka	bankách	bank @@ách
bankovní	Bankovní	bank @@ovn @@í
bankovní	bankovní	bank @@ovn @@í
bankovní	bankovního	bank @@ovn @@ího
bankrot	Bankrot	bank @@rot
bankrot	Bankroty	bank @@rot @@y
bankrot	bankrot	bank @@rot
bankrot	bankrotech	bank @@rot @@ech
bankrot	bankrotu	bank @@rot @@u
bankrot	bankroty	bank @@rot @@y
bankrot	bankrotů	bank @@rot @@ů
bariéra	bariéru	bariér @@u
barva	barva	barv @@a
barva	barvu	barv @@u
barva	barvě	barv @@ě
barák	barák	barák
baterie	baterie	bateri @@e
bavit	bavit	bav @@i @@t
bavit	bavíme	bav @@í @@me
bavit	nebavilo	ne @@bav @@i @@l @@o
bavorsko	Bavorsku	bavor @@sk @@u
belgie	Belgie	belgi @@e
belgie	Belgii	belgi @@i
ben	Ben	ben
benzina	Benzina	benzin @@a
benzina	Benziny	benzin @@y
benzín	BENZÍNU	benzín @@u
benzín	benzinu	benzin @@u
benzín	benzín	benzín
benzín	benzínu	benzín @@u
benzín	benzíny	benzín @@y
benzín	benzínů	benzín @@ů
beso	BESO	beso
beta	Beta	bet @@a
betakaroten	betakarotenu	beta @@karoten @@u
beton	betonu	beton @@u
bez	Bez	bez
bez	bez	bez
bezbřehý	bezbřehý	bez @@břeh @@ý
bezchybně	bezchybně	bez @@chyb @@n @@ě
bezmocně	bezmocně	bez @@moc @@n @@ě
bezolovnatý	bezolovnatého	bez @@olov @@nat @@ého
bezpečný	nebezpečné	ne @@bezpeč @@n @@é
bezprostřední	bezprostřední	bez @@pro @@střed @@n @@í
bezprostředně	bezprostředně	bez @@pro @@střed @@n @@ě
bilanční	bilančního	bilanč @@n @@ího
biochemický	biochemickou	bio @@chem @@ick @@ou
bižuterie	bižuterie	bižuteri @@e
blesk	blesku	blesk @@u
blok	bloky	blok @@y
blok	bloků	blok @@ů
blokový	blokovou	blok @@ov @@ou
blábolit	blábolit	blábol @@i @@t
bláto	bláta	blát @@a
blízko	blíže	blíže
blízkost	blízkost	blíz @@k @@ost
blízkost	blízkosti	blíz @@k @@ost @@i
blízký	bližší	bliž @@š @@í
blízký	blízké	blíz @@k @@é
blízký	blízký	blíz @@k @@ý
blízký	blízkých	blíz @@k @@ých
blízký	nejbližší	nej @@bliž @@š @@í
blízký	nejbližších	nej @@bliž @@š @@ích
blízký	nejbližšího	nej @@bliž @@š @@ího
blížit	blíží	blíž @@í
bochník	bochníku	bochník @@u
bod	bod	bod
bod	body	bod @@y
bod	bodů	bod @@ů
bohatý	Bohaté	boh @@at @@é
bohatý	bohatou	boh @@at @@ou
bohatý	bohatá	boh @@at @@á
bohatý	bohatý	boh @@at @@ý
bohemia	Bohemia	bohem @@i @@a
bohuslav	Bohuslav	bohu @@slav
bohužel	bohužel	boh @@u @@žel
boj	boj	boj
boj	boje	boj @@e
boj	boji	boj @@i
bojovat	bojovat	boj @@ova @@t
bok	boku	bok @@u
bolení	bolení	bol @@e @@n @@í
bolívie	Bolívii	bolív @@i @@i
bomba	bomba	bomb @@a
bonn	Bonnu	bonn @@u
boudreau	Boudreaua	boudreau @@a
box	Box	box
brankář	brankář	bran @@k @@ář
bratr	Bratři	bratř @@i
bratr	bratr	bratr
british	British	british
britský	Britští	brit @@št @@í
britský	britská	brit @@sk @@á
britský	britské	brit @@sk @@é
britský	britský	brit @@sk @@ý
británie	Británie	brit @@án @@i @@e
británie	Británii	brit @@án @@i @@i
brno	BRNO	brn @@o
brno	Brně	brn @@ě
brod	Brodu	brod @@u
brzký	dřívější	dřív @@ěj @@š @@í
brzký	dřívějšího	dřív @@ějš @@ího
brzy	Nejdřív	nej @@dřív
brzy	Nejdříve	nej @@dřív @@e
brzy	brzo	brz @@o
brzy	brzy	brzy
brzy	dřív	dřív
brzy	dříve	dřív @@e
brzy	nejdříve	nej @@dřív @@e
bránit	bránit	brán @@i @@t
bránit	nebrání	ne @@brán @@í
brát	Brát	br @@á @@t
brát	brát	br @@á @@t
brýle	brýlemi	brýl @@emi
bubble	BUBBLE	bubble
buben	Buben	buben
budoucnost	Budoucnost	bud @@ou @@c @@n @@ost
budoucnost	budoucnost	bud @@ou @@c @@n @@ost
budoucnost	budoucnosti	bud @@ou @@c @@n @@ost @@i
budoucí	budoucí	bud @@ouc @@í
budoucí	budoucích	bud @@ouc @@ích
budova	budova	bud @@ova
budova	budovy	bud @@ov @@y
budova	budově	bud @@ov @@ě
budovat	budovat	bud @@ova @@t
budovat	buduje	bud @@uje
budějovice	Budějovicích	budějovic @@ích
burza	BURZA	burz @@a
burza	BURZY	burz @@y
burza	Burze	burz @@e
burza	burza	burz @@a
burza	burze	burz @@e
burza	burzy	burz @@y
buď	Buď	buď
buď	buď	buď
bydlení	bydlení	bydl @@e @@n @@í
bydlet	Bydlím	bydl @@í @@m
bydlet	nebydlíme	ne @@bydl @@í @@me
byt	byt	by @@t
byt	bytu	by @@t @@u
byt	byty	by @@t @@y
byt	bytě	by @@t @@ě
byt	bytů	byt @@ů
bytový	Bytovému	by @@t @@ov @@ému
bytový	bytovému	by @@t @@ov @@ému
bytový	nebytové	ne @@byt @@ov @@é
bytový	nebytový	ne @@byt @@ov @@ý
bytový	nebytových	ne @@by @@t @@ov @@ých
byznys	business	business
byznys	byznys	byznys
byť	byť	byť
báseň	básní	básn @@í
bát	bojí	boj @@í
báth	báthů	báth @@ů
bílý	bílá	bíl @@á
bílý	bílé	bíl @@é
