a	a	a
aba	aby	aby
abbé	abbé	abb @@é
abdikovat	abdikovat	ab @@dik @@ova @@t
abdomen	abdomen	abdomen
abeceda	abecedu	abeced @@u
abo	aby	aby
abonovat	abonovat	abon @@ova @@t
abonování	abonování	abon @@ová @@n @@í
absolutno	absolutna	absolut @@n @@a
absolutno	absolutnem	absolut @@n @@em
absolutno	absolutno	absolut @@n @@o
absolutno	absolutně	absolut @@n @@ě
absolutní	absolutní	absolut @@n @@í
absolutní	absolutních	absolut @@n @@ích
absolutní	absolutním	absolut @@n @@í @@m
absolutní	nejabsolutnější	nej @@absolut @@n @@ěj @@š @@í
absolutně	absolutně	absolut @@n @@ě
absolvent	absolvent	ab @@solv @@ent
absolvent	absolventi	ab @@solv @@ent @@i
absolvovat	absolvovat	ab @@solv @@ova @@t
absorbovat	absorbovat	ab @@sorb @@ova @@t
abstenovanost	abstenovanost	absten @@ova @@n @@ost
abstenovat	abstenovat	absten @@ova @@t
abstrahovat	abstrahovat	abs @@trah @@ova @@t
abstrakce	abstrakce	ab @@s @@trak @@c @@e
abstrakce	abstrakcí	ab @@s @@trak @@c @@í
abstraktní	abstraktní	ab @@s @@trakt @@n @@í
abstraktní	abstraktních	ab @@s @@trakt @@n @@ích
abstraktní	abstraktními	abs @@trakt @@n @@ími
abušinovův	abušinovův	abušinov @@ův
aby	aby	aby
aby	abych	aby @@ch
aby	abychom	a @@by @@chom
aby	abys	a @@by @@s
aby	abyste	aby @@s @@te
aceton	aceton	acet @@on
ach	ach	ach
achich	achich	ach @@ich
achronisticky	achronisticky	a @@chron @@ist @@ic @@k @@y
acidifikovávanost	acidifikovávanost	acid @@i @@fik @@ová @@v @@a @@n @@ost
acta	actu	actu
ad	ad	ad
ada	ad	ad
ada	adami	adami
adam	adam	adam
adam	adami	adami
adami	adami	adami
adaptabilní	adaptabilní	adapt @@abil @@n @@í
adaptor	adaptor	adapt @@or
adaptovat	adaptovat	adapt @@ova @@t
adekvátní	adekvátní	ad @@ekvát @@n @@í
adjustovat	adjustovat	adjust @@ova @@t
administrativní	Administrativní	ad @@ministr @@at @@iv @@n @@í
administrativní	administrativní	ad @@ministr @@at @@iv @@n @@í
administrovat	administrovat	ad @@ministr @@ova @@t
admirál	admirála	admirál @@a
adoptovat	adoptovat	ad @@opt @@ova @@t
adorovat	adorovat	ador @@ova @@t
adresa	adres	adres
adresa	adresa	adres @@a
adresa	adrese	adres @@e
adresa	adresu	adres @@u
adresovat	adresovat	adres @@ova @@t
adresát	adresáta	adres @@át @@a
adresát	adresátů	adres @@át @@ů
adrian	adriana	adrian @@a
adriana	adriana	adrian @@a
adriano	adriana	adrian @@a
advokát	advokát	advok @@át
advokát	advokáta	advok @@át @@a
advokát	advokátem	advok @@át @@em
advokátní	Advokátní	ad @@vok @@át @@n @@í
advokátní	advokátní	ad @@vok @@át @@n @@í
aeromagneticky	aeromagneticky	aero @@magnet @@ic @@k @@y
aeroplán	aeroplánem	aero @@plán @@em
aerotransport	aerotransport	aero @@trans @@port
afinovat	afinovat	afin @@ova @@t
afrika	Afriku	afrik @@u
afrika	Afriky	afrik @@y
afrika	afriku	afrik @@u
afrika	afriky	afrik @@y
afázie	afázie	afáz @@i @@e
aféra	aféra	afér @@a
aféra	aféry	afér @@y
agenda	agenda	agend @@a
agent	agenti	agent @@i
agent	agentů	agent @@ů
agentura	Agentury	agent @@ur @@y
agentura	Agentuře	agent @@uř @@e
agentura	agentur	agent @@ur
agentura	agentury	agent @@ur @@y
agentura	agentuře	agent @@uř @@e
agitovat	agitovat	agit @@ova @@t
agitovat	neagitovala	ne @@agit @@ova @@l @@a
aglomerovat	aglomerovat	aglomer @@ova @@t
aglutinovat	aglutinovat	aglutin @@ova @@t
agnoskovat	agnoskovat	a @@gnosk @@ova @@t
agovávat	agovávat	agov @@á @@v @@a @@t
agrese	agrese	agres @@e
agrese	agresi	agres @@i
agresivita	agresivity	agres @@iv @@it @@y
agrochemicky	agrochemicky	agro @@chem @@ick @@y
agrární	agrárním	agr @@ár @@n @@ím
aha	aha	aha
aho	aha	aha
aids	aids	aids
airlines	Airlines	air @@line @@s
airlines	airlines	air @@line @@s
airways	Airways	air @@way @@s
airways	airways	air @@way @@s
ajaj	ajaj	aj @@aj
akademickost	akademickost	akadem @@ic @@k @@ost
akademický	akademické	akadem @@ic @@k @@é
akademický	akademickému	akadem @@ic @@k @@ému
akce	akce	akc @@e
akce	akci	akc @@i
akce	akcí	akc @@í
akce	akcích	akc @@ích
akcentovat	akcentovat	akcent @@ova @@t
akceptovat	akceptovat	akcept @@ova @@t
akcie	akcie	akci @@e
akcie	akcií	akci @@í
akcionář	akcionář	akcion @@ář
akcionář	akcionářů	akci @@onář @@ů
akciový	Akciová	akci @@ov @@á
akciový	akciová	akci @@ov @@á
akciový	akciové	akci @@ov @@é
akciový	akciových	akci @@ov @@ých
aklimatizovat	aklimatizovat	a @@klim @@at @@iz @@ova @@t
akomodovat	akomodovat	a @@ko @@mod @@ova @@t
akorát	akorát	akorát
akragant	akragant	akragant
akreditovat	akreditovat	a @@kred @@it @@ova @@t
akrylový	akrylový	akryl @@ov @@ý
akt	akt	akt
akt	aktem	akt @@em
akt	aktě	akt @@ě
akta	akt	akt
aktivita	aktivit	akt @@iv @@it
aktivita	aktivitami	akt @@iv @@it @@ami
aktivizovat	aktivizovat	akt @@iv @@iz @@ova @@t
aktivní	aktivní	akt @@iv @@n @@í
aktivní	nejaktivnější	nej @@akt @@iv @@n @@ějš @@í
aktivovat	aktivovat	akt @@iv @@ova @@t
aktovka	aktovce	akt @@ov @@c @@e
aktovka	aktovkou	akt @@ov @@k @@ou
aktualizovat	aktualizovat	akt @@u @@al @@iz @@ova @@t
aktuální	aktuálního	akt @@uál @@n @@ího
aktuálně	Aktuálně	akt @@uál @@n @@ě
aktuálně	aktuálně	akt @@uál @@n @@ě
akumulovat	akumulovat	a @@kumul @@ova @@t
akupresura	akupresurou	aku @@pres @@ur @@ou
akustický	Akustické	akust @@ic @@k @@é
akustický	akustické	akust @@ic @@k @@é
akvarijní	akvarijní	akvarij @@n @@í
akvarista	akvaristé	akvar @@ist @@é
akvarista	akvaristů	akvar @@ist @@ů
akvárium	akvárium	akv @@ár @@i @@um
akvírovat	akvírovat	akv @@ír @@ova @@t
al	ale	ale
ala	ale	ale
alarmovat	alarmovat	alarm @@ova @@t
alba	alba	alb @@a
albatros	albatros	albatros
albigenský	albigenský	albigen @@sk @@ý
albo	alba	alb @@a
album	alba	alb @@a
albínin	albínin	alb @@ín @@in
aldworthová	aldworthová	aldworth @@ov @@á
ale	Ale	ale
ale	ale	ale
alebrž	alebrž	alebrž
alegorizovat	alegorizovat	alegor @@iz @@ova @@t
aleluja	aleluja	aleluja
alemanno	alemannů	alemann @@ů
alemannů	alemannů	alemann @@ů
alespoň	alespoň	alespoň
alexander	alexandra	alexandr @@a
