adapt ova t	RSI
adres ova t	RSI
agit ova t	RSI
akc e	RI
a klim at iz ova t	PRRSSI
alkohol	R
alkohol ik	RS
americ k y	RSI
americ k ý	RSI
amerik a	RI
amerik an iz ova t	RSSSI
amerik án stv í	RSSS
anděl	R
angl ick y	RSI
angl ick ý	RSI
angl ič an	RSS
aranž ova t	RSI
argument	R
asfalt ova t	RSI
asfalt ov ý	RSI
atom	R
atom iz ova t	RSSI
auto mat ick ý	RRSI
auto mat iz ova t	RRSSI
bab ičk a	RSI
babr a t	RSI
baf a t	RSI
bahn i t	RSI
bahn išt ě	RSI
bahn o	RI
bal i t	RSI
bal ík	RS
barv a	RI
barv en ý	RSI
barv i t	RSI
bažin a	RI
bd í t	RSI
bedn i t	RSI
bedýn k a	RSI
belh a t	RSI
beton ova t	RSI
bez po chyb y	RSRI
blaž e n ě	RSSI
blaž i t	RSI
blb nou t	RSI
blesk nou t	RSI
blik a t	RSI
blik nou t	RSI
bli nk a t	RSSI
blok ova t	RSI
bloud	R
bloud i t	RSI
blouzn i l	RSI
blouzn i t	RSI
blud iště	RR
blázen	R
blázn i t	RSI
blázn iv ý	RSI
blázn ovstv í	RSS
blázín ek	RI
blí t	RI
blíž i t	RSI
blýsk a t	RSI
blýsk nou t	RSI
bob ek	RI
bob eček	RS
bod	R
bod a t	RSI
bod nou t	RSI
bod ova t	RSI
boh at nou t	RSSI
boh at stv í	RSSS
boh at ý	RSI
boh at ě	RSI
boh yně	RS
boj	R
boj ova t	RSI
bol e n í	RSSI
bol est	RR
bol est n é	RRSI
bol e t	RSI
bol n ý	RSI
bomb a	RI
bouch a t	RSI
bouch nou t	RSI
bouř i t	RSI
box ova t	RSI
boř i t	RSI
bož sk ý	RSI
bož stv o	RSI
bož stv í	RSS
bož í	RI
brambor	R
brambor a	RI
bratr	R
bratr anec	RS
bratř i t	RSI
bratř íčk ova t	RSSI
breč e t	RSI
brn ě t	RSI
brod iv ost	RSS
broj i t	RSI
brouk a t	RSI
brous i t	RSI
brusl i t	RSI
bruč e t	RSI
brynd a t	RSI
brzd i t	RSI
brách a	RI
brách ův	RI
brán i t	RSI
brázd i t	RSI
buben	R
bubl a t	RSI
bubn ova t	RSI
bud i t	RSI
bud ou c n ost	RSSSS
bud ova t	RSI
buj e t	RSI
buj n ý	RSI
buj n ě	RSI
buj n ě t	RSSI
buš i t	RSI
bydl e t	RSI
by t	RI
by t ov ý	RSSI
by t í	RSS
bád a t	RSI
bád á n í	RSSS
báseň	R
básn i t	RSI
básn ík	RS
bíd a	RI
bíd n ý	RSI
bíd n ě	RSI
bíd ák	RS
bíl i t	RSI
bíl ý	RI
bý t	RI
bý v a t	RSSI
běh	R
běh a t	RSI
běl a t	RSI
běl e t	RSI
běl i t	RSI
běl och	RS
běs n i t	RSSI
běž e t	RSI
břiš n í	RSI
bříš k o	RSI
bůh	R
cap a t	RSI
ced i t	RSI
cement	R
cement ova t	RSI
cen a	RI
cen i t	RSI
cen n ý	RSI
centr al iz ova t	RSSSI
centr ova t	RSI
centr um	RI
cest a	RI
cest ičk a	RSI
cest ova t	RSI
cest ova tel	RSS
cest uj íc í	RSSS
chab nou t	RSI
chap a dl o	RSSI
charakter iz ova t	RSSI
chcíp a t	RSI
chcíp nou t	RSI
checht a t	RSI
chlad nou t	RSI
chlap	R
chlap ec	RI
chlap eč ek	RSI
chlap isk o	RSI
chlap ík	RS
chlast a t	RSI
chlub i l	RSI
chlub i t	RSI
chmel i t	RSI
chod b a	PPI
