adapt ova t	RII
adres ova t	RII
agit ova t	RII
akc e	RI
a klim at iz ova t	IRSSII
alkohol	R
alkohol ik	RS
americ k y	RII
americ k ý	RII
amerik a	RI
amerik an iz ova t	RSSII
amerik án stv í	RSSI
anděl	R
angl ick y	RII
angl ick ý	RII
angl ič an	RSS
aranž ova t	RII
argument	R
asfalt ova t	RII
asfalt ov ý	RSI
atom	R
atom iz ova t	RSII
auto mat ick ý	RRII
auto mat iz ova t	RRSII
bab ičk a	RSI
babr a t	RII
baf a t	RII
bahn i t	RII
bahn išt ě	RSI
bahn o	RS
bal i t	RII
bal ík	RS
barv a	RI
barv en ý	RSI
barv i t	RII
bažin a	RI
bd í t	RII
bedn i t	RII
bedýn k a	RII
belh a t	RII
beton ova t	RII
bez po chyb y	RSRI
blaž e n ě	RISI
blaž i t	RII
blb nou t	RII
blesk nou t	RII
blik a t	RII
blik nou t	RII
bli nk a t	RSII
blok ova t	RII
bloud	R
bloud i t	RII
blouzn i l	RIS
blouzn i t	RII
blud iště	RR
blázen	R
blázn i t	RII
blázn iv ý	RSI
blázn ovstv í	RSI
blázín ek	RI
blí t	RI
blíž i t	RII
blýsk a t	RII
blýsk nou t	RII
bob ek	RI
bob eček	RS
bod	R
bod a t	RII
bod nou t	RII
bod ova t	RII
boh at nou t	RSII
boh at stv í	RSSI
boh at ý	RSI
boh at ě	RSI
boh yně	RS
boj	R
boj ova t	RII
bol e n í	RISI
bol est	RR
bol est n é	RRSI
bol e t	RII
bol n ý	RSI
bomb a	RI
bouch a t	RII
bouch nou t	RII
bouř i t	RII
box ova t	RII
boř i t	RII
bož sk ý	RII
bož stv o	RSS
bož stv í	RSI
bož í	RI
brambor	R
brambor a	RI
bratr	R
bratr anec	RS
bratř i t	RII
bratř íčk ova t	RSII
breč e t	RII
brn ě t	RII
brod iv ost	RSS
broj i t	RII
brouk a t	RII
brous i t	RII
brusl i t	RII
bruč e t	RII
brynd a t	RII
brzd i t	RII
brách a	RI
brách ův	RI
brán i t	RII
brázd i t	RII
buben	R
bubl a t	RII
bubn ova t	RII
bud i t	RII
bud ou c n ost	RSSSS
bud ova t	RII
buj e t	RII
buj n ý	RSI
buj n ě	RSI
buj n ě t	RSII
buš i t	RII
bydl e t	RII
by t	RI
by t ov ý	RISI
by t í	RII
bád a t	RII
bád á n í	RSSI
báseň	R
básn i t	RII
básn ík	RS
bíd a	RI
bíd n ý	RSI
bíd n ě	RSI
bíd ák	RS
bíl i t	RII
bíl ý	RI
bý t	RI
bý v a t	RSII
běh	R
běh a t	RII
běl a t	RII
běl e t	RII
běl i t	RII
běl och	RS
běs n i t	RSII
běž e t	RII
břiš n í	RSI
bříš k o	RIS
bůh	R
cap a t	RII
ced i t	RII
cement	R
cement ova t	RII
cen a	RI
cen i t	RII
cen n ý	RSI
centr al iz ova t	RSSII
centr ova t	RII
centr um	RR
cest a	RI
cest ičk a	RSI
cest ova t	RII
cest ova tel	RIS
cest uj íc í	RSSI
chab nou t	RII
chap a dl o	RISS
charakter iz ova t	RSII
chcíp a t	RII
chcíp nou t	RII
checht a t	RII
chlad nou t	RII
chlap	R
chlap ec	RI
chlap eč ek	RSI
chlap isk o	RSS
chlap ík	RS
chlast a t	RII
chlub i l	RIS
chlub i t	RII
chmel i t	RII
chod b a	PII
chod i dl o	PIPP
chod i t	PII
chod n ík	PPP
chov a n k a	RISII
chov a t	RII
chrapt ě t	RII
chrchl a t	RII
chrup a t	RII
chrup nou t	RII
chrán ěn ý	RSI
cht ě n í	RISI
cht ě n ý	RISI
chud nou t	RII
chud ák	RS
chud ý	RI
chur av ě t	RSII
chut n a t	RSII
chut n á n í	RSSSI
chuť	R
chvál en í	RSI
chvál i t	RII
chvát a t	RII
chvě t	RI
chyb i t	RII
chyb ova t	RII
chyb ě t	RII
chyst a t	RII
chyt a t	RII
chyt i t	RII
chyt nou t	RII
chytr ač i t	RSII
chytr ák	RS
chytr ý	RI
chytř e	RI
chýl i t	RII
chův a	RI
cibul e	RI
cink a t	RII
cit	R
cit eln ý	RSI
cit eln ě	RSI
civil izova n ý	RSSI
civil iz ova t	RSII
ciz inec	RS
cl o	RS
clon i t	RII
clon ov ě	RSI
cl í t	RII
cour a t	RII
couv a t	RII
cp á t	RSI
cuc a t	RII
cuch a t	RII
cuc nou t	RII
cuk a t	RII
cuker n at ě t	RSSII
cuk nou t	RII
cukr ova t	RII
cukr ová n í	RSSI
cukr átk o	RSS
cvak a t	RII
cvak nou t	RII
cvič en í	RSI
cvič i t	RII
cvál a t	RII
cykl us	RI
cák a t	RII
cák nou t	RII
cév k ova t	RIII
cíl	R
cíl i t	RII
cín ova t	RII
cít i t	RII
cít i teln ý	RISI
dab ova t	RII
dareb a	RI
daň ov ý	RSI
dař i t	RII
debat a	RI
debat ova t	RII
de centr al iz ova t	PRSSII
dech nou t	RII
de fin ova teln ý	PRISI
de fin ová n í	PRSSI
de form ova t	PRII
de gener ova t	PRII
dekor ac e	RSI
dekor ova t	RII
de mask ova t	PRII
de moral iz ova t	PRSII
de norm al iz ac e	PRSSSI
destil ova t	RII
destil át	RS
dez orient ova t	PRII
de šifr ova t	PRII
dikt ova t	RII
dimenz ova t	RII
diskut ova t	RII
div adlo	RR
div och	RS
div ok á	RIS
div oč i t	RRII
dlab a t	RII
dloub a t	RII
dloub nou t	RII
dluh	R
dluh ova t	RII
dluž i t	RII
dlážd i t	RII
dl í t	PII
dm ou t	RSI
do belh a t	PRII
do boj ova t	PRII
do bouř i t	PRII
dobr á	RS
dobr ák	RS
dobr ý	RI
do bud ova t	PRII
do buš i t	PRII
do by tí	PRR
do bíl i t	PRII
do bý t	PRI
do bý v a t	PRSII
do cen i t	PRII
do ceň ova t	PRII
do chod i t	PPII
do chov a t	PRII
do cház e t	PPII
do cil ova t	PRII
do cvál a t	PRII
do cíl i t	PRII
do drž e n í	PRISI
do drž e t	PRII
do drž ova t	PRII
do děl a t	PRII
do dř í t	PRII
do has nou t	PRII
do has ín a t	PRSII
do haz ova t	PRII
do hled a t	PRII
do hmát nou t	PRII
do hod i t	PRII
do hon i t	PRII
do hospod ař i t	PRSII
do hotov i t	PRII
do hovoř i t	PRII
do hrab a t	PRII
do hrá t	PRI
do hvízd a t	PRII
do hán ě t	PRII
do hřm í t	PRII
do hřm ě t	PRII
do hřá t	PRI
do jedn a t	PRII
do jedn á v a t	PRSSII
do jem	PR
do jím a t	PRII
do jís t	PRI
do jí t	PRI
do jížd ě t	PRII
do kaz ova t	PRII
do kaz ová n í	PRSSI
do klep a t	PRII
do klep á v a t	PRSSII
do klopýt a t	PRII
do kol a	PRI
do koléb a t	PRII
do kolíb a t	PRII
do kon a l e	PRISI
do kon a l ost	PRISS
do kon a t	PRII
do kon á v a t	PRSSII
do konč en í	PRSI
