epoch,batch,train_loss,val_loss
0.0,0.0,6.912791728973389,
0.0,1.0,6.724973678588867,
0.0,2.0,6.679464340209961,
0.0,3.0,6.395774364471436,
0.0,4.0,6.302098751068115,
0.0,5.0,6.253023624420166,
0.0,6.0,6.08727502822876,
0.0,7.0,5.890961647033691,
0.0,8.0,5.594029426574707,
0.0,9.0,5.5353193283081055,
0.0,10.0,5.353704452514648,
0.0,11.0,5.276690483093262,
0.0,12.0,5.027288436889648,5.720488315914942
1.0,0.0,5.0306396484375,
1.0,1.0,4.888470649719238,
1.0,2.0,4.748497009277344,
1.0,3.0,4.685447692871094,
1.0,4.0,4.512420654296875,
1.0,5.0,4.443894863128662,
1.0,6.0,4.396273612976074,
1.0,7.0,4.241143226623535,
1.0,8.0,4.047074794769287,
1.0,9.0,4.011575222015381,
1.0,10.0,3.925104141235352,
1.0,11.0,3.7116546630859375,
1.0,12.0,3.594442129135132,4.151361540852406
2.0,0.0,3.617398262023926,
2.0,1.0,3.4259963035583496,
2.0,2.0,3.3892712593078613,
2.0,3.0,3.371692657470703,
2.0,4.0,3.235758781433105,
2.0,5.0,3.116263628005981,
2.0,6.0,3.0751547813415527,
2.0,7.0,3.03580641746521,
2.0,8.0,2.8699991703033447,
2.0,9.0,2.7957897186279297,
2.0,10.0,2.7916386127471924,
2.0,11.0,2.7925796508789062,
2.0,12.0,2.605973958969116,3.311145211956863
3.0,0.0,2.6297831535339355,
3.0,1.0,2.5783658027648926,
3.0,2.0,2.440314292907715,
3.0,3.0,2.417461395263672,
3.0,4.0,2.37771987915039,
3.0,5.0,2.327652931213379,
3.0,6.0,2.2698397636413574,
3.0,7.0,2.1789324283599854,
3.0,8.0,2.1772348880767822,
3.0,9.0,2.0991060733795166,
3.0,10.0,2.0384230613708496,
3.0,11.0,1.986043691635132,
3.0,12.0,1.9189677238464355,2.78167428282613
4.0,0.0,1.9018927812576292,
4.0,1.0,1.8251588344573972,
4.0,2.0,1.7499958276748655,
4.0,3.0,1.714693546295166,
4.0,4.0,1.6328102350234983,
4.0,5.0,1.5658671855926514,
4.0,6.0,1.5667556524276731,
4.0,7.0,1.529862642288208,
4.0,8.0,1.4017510414123535,
4.0,9.0,1.4051103591918943,
4.0,10.0,1.2666164636611938,
4.0,11.0,1.2461252212524414,
4.0,12.0,1.1985995769500732,2.271169530071593
4.0,12.0,1.1985995769500732,1.7051587744540555
0.0,0.0,8.545247077941895,
0.0,1.0,7.458187580108643,8.608708381652832
1.0,0.0,7.747077465057373,
1.0,1.0,7.7754011154174805,8.35787582397461
2.0,0.0,7.144657611846924,
2.0,1.0,7.956696510314941,8.140660285949707
3.0,0.0,7.278668403625488,
3.0,1.0,6.846216678619385,7.948745250701904
4.0,0.0,6.909548282623291,
4.0,1.0,6.835202693939209,7.774101734161377
5.0,0.0,6.799373626708984,
5.0,1.0,6.354405879974365,7.61162805557251
6.0,0.0,6.5108208656311035,
6.0,1.0,6.301310062408447,7.455495357513428
7.0,0.0,6.444056034088135,
7.0,1.0,5.790355682373047,7.302412509918213
8.0,0.0,6.19054651260376,
8.0,1.0,5.6800360679626465,7.151183128356934
9.0,0.0,5.951713562011719,
9.0,1.0,5.548670768737793,7.000720024108887
10.0,0.0,6.140707969665527,
10.0,1.0,4.569717884063721,6.8529582023620605
11.0,0.0,5.2950263023376465,
11.0,1.0,5.692472457885742,6.70717716217041
12.0,0.0,5.375784397125244,
12.0,1.0,4.95222806930542,6.56085729598999
13.0,0.0,5.17299747467041,
13.0,1.0,4.793241500854492,6.413041591644287
14.0,0.0,4.8348164558410645,
14.0,1.0,4.905143737792969,6.263045310974121
15.0,0.0,4.643010139465332,
15.0,1.0,4.729332447052002,6.115147113800049
16.0,0.0,4.490883827209473,
16.0,1.0,4.492771148681641,5.967958927154541
17.0,0.0,4.048592567443848,
17.0,1.0,4.832469940185547,5.823306560516357
18.0,0.0,4.000543117523193,
18.0,1.0,4.4047393798828125,5.679696083068848
19.0,0.0,4.290892601013184,
19.0,1.0,3.3154985904693604,5.534466743469238
20.0,0.0,3.9511232376098633,
20.0,1.0,3.4744961261749268,5.39262580871582
21.0,0.0,3.8305459022521973,
21.0,1.0,3.2062911987304688,5.2514872550964355
22.0,0.0,3.463082790374756,
22.0,1.0,3.459207057952881,5.111116409301758
23.0,0.0,3.2100424766540527,
23.0,1.0,3.469684600830078,4.973413944244385
24.0,0.0,2.9740374088287354,
24.0,1.0,3.460753917694092,4.8341851234436035
25.0,0.0,2.901766777038574,
25.0,1.0,3.139554023742676,4.693929672241211
26.0,0.0,2.9840915203094482,
26.0,1.0,2.524639844894409,4.554006576538086
27.0,0.0,2.9025754928588867,
27.0,1.0,2.2355217933654785,4.414836406707764
28.0,0.0,2.694824695587158,
28.0,1.0,2.209500551223755,4.278237342834473
29.0,0.0,2.6432862281799316,
29.0,1.0,1.8982117176055908,4.145384788513184
30.0,0.0,2.1603500843048096,
30.0,1.0,2.445014238357544,4.019776821136475
31.0,0.0,2.0417397022247314,
31.0,1.0,2.290195941925049,3.896826982498169
32.0,0.0,2.0480594635009766,
32.0,1.0,1.900425910949707,3.778357744216919
33.0,0.0,1.9295357465744019,
33.0,1.0,1.7730110883712769,3.66623854637146
34.0,0.0,1.8900165557861328,
34.0,1.0,1.512054443359375,3.55842924118042
35.0,0.0,1.5947579145431519,
35.0,1.0,1.7666596174240112,3.4586493968963623
36.0,0.0,1.6727650165557861,
36.0,1.0,1.3024849891662598,3.3617095947265625
37.0,0.0,1.5396620035171509,
37.0,1.0,1.2691795825958252,3.2703475952148438
38.0,0.0,1.250587821006775,
38.0,1.0,1.5642976760864258,3.1862521171569824
