epoch,batch,train_loss,val_loss
0.0,0.0,7.507389068603516,
0.0,1.0,7.267517566680908,
0.0,2.0,7.134149074554443,
0.0,3.0,6.880107879638672,
0.0,4.0,6.724937915802002,
0.0,5.0,6.533475399017334,
0.0,6.0,6.392276763916016,
0.0,7.0,6.259594440460205,
0.0,8.0,6.040988445281982,
0.0,9.0,5.890089511871338,
0.0,10.0,5.775640487670898,
0.0,11.0,5.471719741821289,
0.0,12.0,5.393218994140625,4.788613173626916
1.0,0.0,5.182862758636475,
1.0,1.0,4.970634937286377,
1.0,2.0,4.933611869812012,
1.0,3.0,5.037773132324219,
1.0,4.0,4.624436378479004,
1.0,5.0,4.628565788269043,
1.0,6.0,4.440052032470703,
1.0,7.0,4.3198347091674805,
1.0,8.0,4.1155686378479,
1.0,9.0,4.083837509155273,
1.0,10.0,3.9782423973083496,
1.0,11.0,3.919656276702881,
1.0,12.0,3.8159680366516113,3.0909491379294147
2.0,0.0,3.742030382156372,
2.0,1.0,3.51943039894104,
2.0,2.0,3.466459274291992,
2.0,3.0,3.4181809425354004,
2.0,4.0,3.353745937347412,
2.0,5.0,3.168108940124512,
2.0,6.0,3.1300768852233887,
2.0,7.0,2.9857821464538574,
2.0,8.0,2.944274663925171,
2.0,9.0,2.9330079555511475,
2.0,10.0,2.6680891513824463,
2.0,11.0,2.806720733642578,
2.0,12.0,2.7092018127441406,1.8669753902884951
3.0,0.0,2.339292287826538,
3.0,1.0,2.45012640953064,
3.0,2.0,2.2945127487182617,
3.0,3.0,2.3038907051086426,
3.0,4.0,2.082707643508911,
3.0,5.0,2.03125,
3.0,6.0,2.067332983016968,
3.0,7.0,1.852966070175171,
3.0,8.0,1.8057228326797483,
3.0,9.0,1.7543447017669678,
3.0,10.0,1.6869158744812012,
3.0,11.0,1.4543970823287964,
3.0,12.0,1.6216415166854858,1.0253894145144875
4.0,0.0,1.5944452285766602,
4.0,1.0,1.463609218597412,
4.0,2.0,1.3186479806900024,
4.0,3.0,1.3824279308319092,
4.0,4.0,1.3075984716415403,
4.0,5.0,1.2585210800170898,
4.0,6.0,1.3071093559265137,
4.0,7.0,1.1722040176391602,
4.0,8.0,1.1821889877319336,
4.0,9.0,1.2527583837509155,
4.0,10.0,1.117613434791565,
4.0,11.0,1.1922287940979004,
4.0,12.0,0.9867123961448668,0.759645619572894
4.0,12.0,0.9867123961448668,1.3163231285097043
0.0,0.0,9.435674667358398,
0.0,1.0,8.881933212280273,8.817924499511719
1.0,0.0,8.750677108764648,
1.0,1.0,9.055804252624512,8.589865684509277
2.0,0.0,8.894976615905762,
2.0,1.0,7.7161970138549805,8.383389472961426
3.0,0.0,8.095904350280762,
3.0,1.0,8.334798812866211,8.1890869140625
4.0,0.0,8.021800994873047,
4.0,1.0,7.570117950439453,7.99985933303833
5.0,0.0,7.641686916351318,
5.0,1.0,7.420205116271973,7.815300464630127
6.0,0.0,7.1579203605651855,
6.0,1.0,7.476999282836914,7.632744789123535
7.0,0.0,6.915945053100586,
7.0,1.0,7.071699142456055,7.450674533843994
8.0,0.0,6.582634449005127,
8.0,1.0,6.868435859680176,7.270157337188721
9.0,0.0,6.2558488845825195,
9.0,1.0,6.6271867752075195,7.087741374969482
10.0,0.0,6.065639972686768,
10.0,1.0,6.182091236114502,6.902970790863037
11.0,0.0,5.800094127655029,
11.0,1.0,5.896498680114746,6.7182698249816895
12.0,0.0,5.718204498291016,
12.0,1.0,5.2934489250183105,6.53373908996582
13.0,0.0,5.282134056091309,
13.0,1.0,5.411904811859131,6.3517351150512695
14.0,0.0,5.1854023933410645,
14.0,1.0,4.896261692047119,6.17180061340332
15.0,0.0,4.70004415512085,
15.0,1.0,5.1493425369262695,5.997068405151367
16.0,0.0,4.666475296020508,
16.0,1.0,4.544760227203369,5.826415061950684
17.0,0.0,4.591252326965332,
17.0,1.0,4.029182434082031,5.661021709442139
18.0,0.0,3.945746898651123,
18.0,1.0,4.680206298828125,5.499887943267822
19.0,0.0,4.057277202606201,
19.0,1.0,3.830406665802002,5.339621543884277
20.0,0.0,3.7273995876312256,
20.0,1.0,3.8869237899780273,5.17669153213501
21.0,0.0,3.306537628173828,
21.0,1.0,4.123771667480469,5.012627124786377
22.0,0.0,3.368778944015503,
22.0,1.0,3.4191226959228516,4.848015308380127
23.0,0.0,3.2391726970672607,
23.0,1.0,3.0822763442993164,4.683845043182373
24.0,0.0,3.068802833557129,
24.0,1.0,2.8657965660095215,4.523159027099609
25.0,0.0,2.9317076206207275,
25.0,1.0,2.5941503047943115,4.368230819702148
26.0,0.0,2.668544292449951,
26.0,1.0,2.604048013687134,4.218729496002197
27.0,0.0,2.4428555965423584,
27.0,1.0,2.5657973289489746,4.078907012939453
28.0,0.0,2.216261625289917,
28.0,1.0,2.549637794494629,3.9489529132843018
29.0,0.0,2.0928597450256348,
29.0,1.0,2.3509669303894043,3.829737901687622
30.0,0.0,2.1361947059631348,
30.0,1.0,1.8642499446868896,3.7213571071624756
31.0,0.0,1.9270662069320679,
31.0,1.0,1.8960593938827515,3.623941659927368
32.0,0.0,1.8537288904190063,
32.0,1.0,1.6856547594070435,3.5350594520568848
33.0,0.0,1.7449241876602173,
33.0,1.0,1.5706278085708618,3.4556078910827637
34.0,0.0,1.7206907272338867,
34.0,1.0,1.3010749816894531,3.3828535079956055
35.0,0.0,1.5201935768127441,
35.0,1.0,1.4056059122085571,3.317819595336914
36.0,0.0,1.409189224243164,
36.0,1.0,1.3452467918395996,3.2579920291900635
37.0,0.0,1.1779565811157227,
37.0,1.0,1.5463297367095947,3.2025673389434814
38.0,0.0,1.1248385906219482,
38.0,1.0,1.406841516494751,3.1498868465423584
39.0,0.0,1.1372735500335693,
39.0,1.0,1.156247615814209,3.098884344100952
40.0,0.0,1.0522140264511108,
40.0,1.0,1.108072280883789,3.0484085083007812
41.0,0.0,0.9583503603935242,
41.0,1.0,1.0903767347335815,2.9980504512786865
42.0,0.0,0.9250205755233765,
42.0,1.0,0.9695861339569092,2.9517672061920166
43.0,0.0,1.0194660425186157,
43.0,1.0,0.6111135482788086,2.9079692363739014
44.0,0.0,0.7816354632377625,
44.0,1.0,0.9137205481529236,2.8696305751800537
45.0,0.0,0.7294366359710693,
45.0,1.0,0.8640312552452087,2.8350167274475098
46.0,0.0,0.7632821798324585,
46.0,1.0,0.6554752588272095,2.80288028717041
47.0,0.0,0.6721144318580627,
47.0,1.0,0.7037089467048645,2.773172378540039
48.0,0.0,0.6482197046279907,
48.0,1.0,0.6286667585372925,2.7474756240844727
49.0,0.0,0.6045451760292053,
49.0,1.0,0.5984039306640625,2.7242355346679688
50.0,0.0,0.5471397638320923,
50.0,1.0,0.6051015257835388,2.7026309967041016
51.0,0.0,0.5214810371398926,
51.0,1.0,0.5551729202270508,2.682845115661621
52.0,0.0,0.4885731339454651,
52.0,1.0,0.5268411636352539,2.6643693447113037
53.0,0.0,0.49504896998405457,
53.0,1.0,0.42831847071647644,2.6473968029022217
54.0,0.0,0.42721027135849,
54.0,1.0,0.47996628284454346,2.6306703090667725
55.0,0.0,0.4374311864376068,
55.0,1.0,0.38569045066833496,2.6140971183776855
56.0,0.0,0.4131518006324768,
56.0,1.0,0.36329948902130127,2.598501205444336
57.0,0.0,0.34120917320251465,
57.0,1.0,0.43945053219795227,2.5830910205841064
58.0,0.0,0.32517993450164795,
58.0,1.0,0.41059932112693787,2.5687618255615234
59.0,0.0,0.32748955488204956,
59.0,1.0,0.34931597113609314,2.5555570125579834
60.0,0.0,0.2690139412879944,
60.0,1.0,0.410722553730011,2.5427536964416504
61.0,0.0,0.2815731167793274,
61.0,1.0,0.3371577262878418,2.5301625728607178
62.0,0.0,0.26361536979675293,
62.0,1.0,0.3255416750907898,2.5185248851776123
63.0,0.0,0.2964395582675934,
63.0,1.0,0.21803690493106842,2.507748603820801
64.0,0.0,0.20356914401054382,
64.0,1.0,0.3580920994281769,2.4977195262908936
65.0,0.0,0.24052223563194275,
65.0,1.0,0.24871009588241577,2.4878320693969727
66.0,0.0,0.24069274961948395,
66.0,1.0,0.21257616579532623,2.478367567062378
67.0,0.0,0.2303999960422516,
67.0,1.0,0.19961002469062805,2.4697775840759277
68.0,0.0,0.1812763214111328,
68.0,1.0,0.26500147581100464,2.4621047973632812
69.0,0.0,0.20041686296463013,
69.0,1.0,0.1992010772228241,2.4542789459228516
70.0,0.0,0.19614052772521973,
70.0,1.0,0.18073447048664093,2.4474925994873047
71.0,0.0,0.1722894310951233,
71.0,1.0,0.20196886360645294,2.4419453144073486
72.0,0.0,0.17438030242919922,
72.0,1.0,0.1744675636291504,2.436950922012329
73.0,0.0,0.16797782480716705,
73.0,1.0,0.16494911909103394,2.4323794841766357
74.0,0.0,0.15129292011260986,
74.0,1.0,0.17681480944156647,2.428039789199829
75.0,0.0,0.1477394551038742,
75.0,1.0,0.16483841836452484,2.4241602420806885
76.0,0.0,0.15491801500320435,
76.0,1.0,0.13245326280593872,2.420722007751465
77.0,0.0,0.13850586116313934,
77.0,1.0,0.14759474992752075,2.417877674102783
78.0,0.0,0.12397756427526474,
78.0,1.0,0.1599453091621399,2.415423631668091
79.0,0.0,0.14213702082633972,
