abb é	RE
ab dik ova t	PRSE
abdomen	R
abeced u	RE
abol ova t	RSE
abon ová n í	RSSE
abon ova t	RSE
absolut n a	RSE
absolut n ě	RSE
absolut n em	RSE
absolut n í	RSE
absolut n ích	RSE
absolut n ího	RSE
absolut n í m	RSEE
absolut n o	RSE
ab solv ent	PRS
ab solv ent i	PRSE
ab solv ova t	PRSE
ab sorb ova t	PRSE
absten ova n ost	RSSS
absten ova t	RSE
abs trah ova t	RRSE
ab s trak c e	PPRSE
ab s trak c í	PPRSE
ab s trakt n í	PPRSE
ab s trakt n ích	PPRSE
abs trakt n ími	RRSE
abušinov ův	RE
aby	R
aby ch	RE
a by chom	PRE
a by s	PRS
aby s te	RSE
ač	R
acet on	RS
ach	R
ach ich	RE
a chov a t	PREE
a chron ist ic k y	PRSSSE
acid i fik ová v a n ost	RSSSSSSS
ač koli	PR
actu	R
ad	R
adam	R
adami	R
adapt abil n í	RSSE
adapt or	RS
adapt ova t	RSE
ad ekvát n í	RRSE
adjust ova t	RSE
ad ministr at iv n í	RRSSSE
ad ministr ova t	RRSE
admirál a	RE
admirál	R
ad opt ova t	RRSE
ador ova t	RSE
adres a	RE
adres	R
adres át a	RSE
adres át ů	RSE
adres e	RE
adres ova t	RSE
adres u	RE
adrian a	RE
advok át a	RSE
advok át	RS
advok át em	RSE
ad vok át n í	RRSSE
aero magnet ic k y	RRSSE
aero plán em	RRE
aero trans port	R?R
aeternitatis	R
afáz i e	REE
afekt ova t	RSE
afér a	RE
afér y	RE
a filo zof ic k ý	PRRSSE
afin ova t	RSE
afrik a	RE
afrik u	RE
afrik y	RE
agend a	RE
agent	R
agent i	RE
agent ů	RE
agent ur a	RSE
agent ur	RS
agent uř e	RRE
agent ur y	RSE
agit ova t	RSE
aglomer ova t	RSE
aglutin ova t	RSE
a gnosk ova t	PRSE
a gnos t ic ism	PRSSS
agnoston	R
agov á v a t	RSSEE
agr ár n ím	RSSE
agres e	RE
agres i	RE
agres iv it y	RSSE
agro chem ick y	RRSE
aha	R
aids	R
air line s	PRS
air way s	PRS
aj aj	RE
akadem ic k é	RSSE
akadem ic k ému	RSSE
akadem ic k ost	RSSS
akc e	RE
akcent ova t	RSE
akcept ova t	RSE
akc i	RE
akc í	RE
akc ích	RE
akci e	RE
akci í	RE
akcion ář	RS
akci onář ů	RSE
akci ov á	RSE
