abb é	RE
ab dik ova t	DRDE
abdomen	R
abeced u	RE
abol ova t	RDE
abon ová n í	RDDD
abon ova t	RDE
absolut n a	REE
absolut n ě	REE
absolut n em	RDD
absolut n í	RDE
absolut n ích	RDD
absolut n ího	RDD
absolut n í m	RDEE
absolut n o	REE
ab solv ent	DRR
ab solv ent i	DRRE
ab solv ova t	DRDE
ab sorb ova t	DRDE
absten ova n ost	RDDD
absten ova t	RDE
abs trah ova t	RRDE
ab s trak c e	DDRDE
ab s trak c í	DDRDE
ab s trakt n í	DDRDE
ab s trakt n ích	DDRDD
abs trakt n ími	RRDD
abušinov ův	RE
aby	R
aby ch	RE
a by chom	DRR
a by s	DRE
aby s te	REE
ač	R
acet on	RR
ach	R
ach ich	RR
a chov a t	DREE
a chron ist ic k y	DRDDDD
acid i fik ová v a n ost	RDRDDDDD
ač koli	DR
actu	R
ad	R
adam	R
adami	R
adapt abil n í	RDDE
adapt or	RD
adapt ova t	RDE
ad ekvát n í	RRDE
adjust ova t	RDE
ad ministr at iv n í	RRDDDE
ad ministr ova t	RRDE
admirál a	RE
admirál	R
ad opt ova t	RRDE
ador ova t	RDE
adres a	RE
adres	D
adres át a	RDE
adres át ů	RDE
adres e	RE
adres ova t	RDE
adres u	RE
adrian a	RE
advok át a	RDE
advok át	RD
advok át em	RDD
ad vok át n í	RRDDE
aero magnet ic k y	RRDDD
aero plán em	RRD
aero trans port	RRR
aeternitatis	R
afáz i e	RDE
afekt ova t	RDE
afér a	RE
afér y	RE
a filo zof ic k ý	DRRDEE
afin ova t	RDE
afrik a	RE
afrik u	RD
afrik y	RE
agend a	RE
agent	R
agent i	RE
agent ů	RE
agent ur a	RDE
agent ur	DD
agent uř e	RRD
agent ur y	RDE
agit ova t	RDE
aglomer ova t	RDE
aglutin ova t	RDE
a gnosk ova t	DRDE
a gnos t ic ism	DRDDD
agnoston	R
agov á v a t	RDDEE
agr ár n ím	RDDD
agres e	RE
agres i	RE
agres iv it y	RDDE
agro chem ick y	RRDD
aha	R
aids	R
air line s	DRD
air way s	DRD
aj aj	RR
akadem ic k é	RDDE
akadem ic k ému	RDDD
akadem ic k ost	RDDD
akc e	RE
akcent ova t	RDE
akcept ova t	RDE
akc i	RE
akc í	RE
akc ích	RD
akci e	RE
akci í	RE
akcion ář	RD
akci onář ů	RDE
akci ov á	RDE
akci ov é	RDE
akci ov ých	RDD
a klam ova t	DRDE
a klim at iz ova t	DRDDDE
a ko mod ova t	DDRDE
akorát	R
akragant	R
a kred it ova t	DRDDE
akro bat i	RDE
akryl ov ý	RDE
akt	D
akt ě	RE
akt em	RD
akt iv it	RDD
akt iv it ami	RDDD
akt iv iz ova t	RDDDE
akt iv n í	RDDE
akt iv ova t	RDDE
akt ov c e	RDDD
akt ov k ou	RDDD
akt u al iz ova t	RDDDDE
akt uál n ě	RRDD
akt uál n ího	RRDD
a kumul ova t	DRDE
aku pres ur ou	RRDD
akust ic k é	RDDE
akvarij n í	RDE
akvar ist é	RDE
akvar ist ů	RDE
akv ár i um	RDDR
akv ír ova t	RDDE
alarm ova t	RDE
alarm uj te	REE
alb a	RE
albatros	R
albigen sk ý	REE
alb ín in	RDD
aldworth ov á	RDD
ale	R
alebrž	R
alegor iz ova t	RDDE
aleluja	R
alemann ů	RE
alespoň	R
alexandr a	RE
alexandr i e	REE
alexandr i i	REE
alexaněnk ův	RE
alexej	R
alf a	RE
alf a bet ick ém	RDRDD
alf ou	RD
alfréd ův	RE
alias	R
alibi	R
alic e	RE
alic i	RE
alic in o	RDD
aligátor	R
ali ment y	RDE
alister	R
a liter ova t	DRDE
aljašc e	RD
alkaj sk ý	REE
alkal iz ova t	RDDE
alkohol	R
alkohol ik	RD
a log ič n o	DRDDD
alois e	RE
alp	D
alp y	RE
alter n at iv a	RDDDE
alter n at iv	RDDD
alter n at iv ami	RDDDD
alter n at iv u	RDDDE
alter n ova t	RDDE
alter ova t	RDE
amalgam ova t	RDE
amand a	RE
amarett o	RE
amatakkulchai	R
am at ér	RDD
amatér ismus	RD
amazon sk ý	REE
amen	R
američ an é	RDE
američ an k ou	RDEE
američ an ů	RDE
američ an ům	RDD
americ e	RE
americ k á	RDE
americ k é	RDE
americ k ému	RDD
americ k ou	RDE
americ k y	RDD
americ k ý	RDE
americ k ých	RDD
američ t í	RDE
amerik a	RE
amerik an ism em	RDDD
amerik an ism u	RDDE
amerik an iz ova t	RDDDE
amerik án ovi	RDD
amerik án sk á	RDEE
amerik án stv í	RDDD
amerik u	RE
amerik y	RE
amin a	RE
amin ě	RE
amin k o	RDD
amin o	RD
amin u	RE
ami pro	RD
amnest ova t	RDE
amort iz ova t	RDDE
ampli fik ova t	RRDE
amput ova t	RDE
amsterodam	R
amsterodam ě	RE
amsterodam u	RD
anacharsis ův	RE
ana log ic k á	RRDDE
ana log ic k y	RRDDD
ana log i e	RRDE
ana log iz ova t	RRDDE
ana lyt ic a	RRDE
ana lyt ik u	RRDE
ana lýz a	RRE
ana lyz ova t	RRDE
ana lýz y	RRE
an arch i i	DRDE
anatol ák	RD
anatol	R
anatól i i	REE
ana tom i e	RRDE
ana tom i i	RRDE
ancilla	R
anď ák ův	RDE
anděl	R
anděl é	RE
anděl í	RE
anděl ím	RD
anděl y	RE
anderson	R
andíl ek	RE
andrejev a	RE
android	R
a neb	DR
a nebo	DR
anekt ova t	RDE
angaž ová n	RDD
angaž ová n í	RDDD
angaž ova t	RDE
angl ič an	RDD
angl ič an i	RDDE
angl ic k é	RDDE
angl ic k ého	RDDD
angl ick ém	RDD
angl ic k u	RDDD
angl ick y	RDD
angl ick ý	RDE
angl ičt in ou	RRDD
angl ičt in y	RRDE
angl i e	REE
angl i i	REE
angl o americ k é	RDRDE
angl o sas k é	RDRDE
angl o sas k ou	RDRDE
ani	R
anil ín em	RDD
anil ín u	RDE
anim a	RE
anim ist ick ý	RDDE
anim ova t	RDE
anim um	RR
aniž	R
anlongveng	R
annie	R
ano	R
anomál i i	RDE
anonc ova t	RDE
an onym n í	DRDE
an onym n ích	DRDD
a not ova t	DRDE
anta gon izová v a n ost	RDDDDDD
antal a	RE
ante dat ova t	RRDE
anthony	R
anthozo a	RE
anti cip ova t	RRDE
anti dat uje me	DRDD
ant i hrd in k a	DDRDEE
antikv it y	RDE
anti myk ot ic k y	DRDDDD
anti propag and ov ost	DRDDD
anti vir ot ic k ost	DRDDDD
anton a	RE
anton	R
antonín a	RE
a nul ova t	DRDE
a p	DR
aparat ur y	RDE
a pel ova t	DRDE
a per cip ova t	DDRDE
aplan ova t	RDE
aplaud ova t	RDE
aplik ac i	RDE
a plik ová n a	DRDDE
a plik ova t	DRDE
a pod	DR
apologet ik y	RDE
a port ova t	DRDE
apo strof ova t	RDDE
apret ova t	RDE
aprior ism em	RDD
aprior n í	RDE
aprior n ích	RDD
a prob ova t	DRDE
a prov iz ova t	DRDDE
a pro viz ová v a n ě	DDRDDDDD
aqua	R
aquilej sk ý	REE
ara	R
arab a	RE
arab	D
arab ovi	RD
arab sk ou	REE
arab sk ý	REE
arab sk ými	RDD
aranž ér ův	RDE
aranž ova t	RDE
arch a iz ova t	RDDDE
arch	D
archi tekt	DD
archi tekt ur y	RRDE
arch ů	RE
arci biskup	DR
arci lotr as	DRD
areál u	RE
arenelle	R
aret ova t	RDE
argaláš	R
argentin y	RE
argument	R
arion	R
aristo krat ism u	RRDE
aristotel a	RE
aristotel ovi	RD
ar iz ova t	RDDE
armád a	RE
armén	R
armén i	RE
armén i e	REE
armén ovi	RD
armén sk ý	REE
arm ova t	RDE
armstrong	R
arnhem	R
arnošt	R
arogantn ě	RD
arom at iz ova t	RDDDE
a rond ova t	DRDE
artikul ova t	RDE
a san ova t	DRDE
a sekur ova t	DRDE
asfalt ova t	RDE
asfalt ov ou	RDE
asfalt ov ý	RDE
asi	R
asi e	RE
a simil ová n y	DRDDE
a simil ova t	DRDE
a simil ova ti	DRDD
asist ent k a	RREE
asist ent ů	RRE
asist ova t	RDE
a soci ac e	DRDE
a soci ova t	DRDE
a spekt u	DRE
a spekt y	DRE
a spir ova t	DRDE
aspoň	R
astm at ic k y	RDDDD
astro nom ic k é	RRDDE
astrophytum	R
a symptot ic k y	DRDDD
atak ova t	RDE
ataman em	RD
atarax i e	RDE
ať	R
atd	R
a te ism u	DDRE
atent át y	RDE
a test ova t	DRDE
atlet	D
atm o sfér ou	RDRD
atom	R
atom iz ova t	RDDE
